temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
5.7,1.6,-7.7,37.5,0.0,0,24.1,22.3,18,1034.7,2.9,16.0,687,2.5
6.6,2.8,-7.2,36.62,0.0,0,32.6,22.6,23,1033.9,2.9,16.0,674,2.4
6.2,3.7,-7.7,36.13,0.0,0,34.7,12.1,29,1033.5,1.6,16.0,583,2.1
5.8,1.5,-8.8,34.32,0.0,0,35.3,24.9,36,1033.1,1.6,16.0,420,1.5
5.7,2.6,-8.8,34.34,0.0,0,24.1,14.9,29,1032.8,1.6,16.0,219,0.8
4.4,0.7,-9.9,34.63,0.0,0,22.3,16.9,28,1033.1,1.6,16.0,69,0.2
2.2,-0.7,-9.9,40.53,0.0,0,22.3,9.9,20,1033.3,1.6,16.0,9,0.0
1.1,-1.5,-9.9,43.71,0.0,0,22.3,8.2,20,1033.1,1.6,16.0,0,0.0
0.6,-2.9,-9.9,45.48,0.0,0,24.1,11.3,19,1032.4,1.6,16.0,0,0.0
-0.1,-4.1,-9.2,50.35,0.0,0,25.9,12.9,30,1032.3,1.6,16.0,0,0.0
-0.6,-4.5,-8.3,56.28,0.0,0,25.9,11.7,31,1032.2,2.9,16.0,0,0.0
-1.2,-4.0,-8.3,58.37,0.0,0,25.9,7.8,30,1032.2,2.9,16.0,0,0.0
-1.3,-4.1,-8.7,56.9,0.0,0,24.1,7.8,30,1032.0,3.2,16.0,0,0.0
-1.3,-4.6,-9.2,55.09,0.0,0,24.1,9.3,50,1031.3,79.5,16.0,0,0.0
-1.3,-4.6,-8.7,56.9,0.0,0,22.3,9.1,47,1030.7,85.0,16.0,0,0.0
-1.7,-3.8,-8.3,60.9,0.0,0,20.5,5.6,23,1030.9,32.4,16.0,0,0.0
-1.2,-4.1,-7.8,61.1,0.0,0,18.4,7.8,52,1030.4,46.0,16.0,0,0.0
-1.3,-1.3,-7.7,61.7,0.0,0,16.6,1.0,13,1030.6,48.9,16.0,0,0.0
-0.8,-3.4,-7.1,62.52,0.0,0,18.4,7.2,6,1031.1,89.4,16.0,9,0.0
-0.1,-4.0,-6.1,63.79,0.0,0,18.4,12.5,27,1030.8,26.9,16.0,52,0.2
0.7,-2.7,-5.9,60.92,0.0,0,20.5,11.2,3,1031.0,14.4,16.0,114,0.4
1.3,-2.0,-5.7,59.75,0.0,0,24.1,11.1,50,1031.0,13.1,16.0,244,0.9
2.9,-1.3,-5.7,52.97,0.0,0,24.1,18.4,60,1029.9,3.2,16.0,538,1.9
4.3,0.8,-5.1,50.22,0.0,0,25.9,16.0,52,1029.5,2.9,16.0,685,2.5
5.7,2.7,-4.9,46.55,0.0,0,24.1,14.1,82,1028.6,2.9,16.0,784,2.8
5.7,2.7,-4.3,48.41,0.0,0,24.1,14.8,71,1027.5,84.7,16.0,524,1.9
6.2,3.4,-4.2,47.22,0.0,0,24.1,13.9,80,1026.7,29.6,16.0,463,1.7
6.7,4.0,-3.3,48.96,0.0,0,31.7,13.9,90,1025.7,3.2,16.0,340,1.2
6.1,3.0,-3.4,50.61,0.0,0,29.5,15.9,71,1025.3,3.2,16.0,157,0.6
5.0,1.7,-3.8,52.92,0.0,0,25.9,15.5,87,1024.8,3.2,16.0,38,0.1
3.8,0.2,-3.3,59.66,0.0,0,27.7,15.5,61,1023.9,6.3,16.0,6,0.0
2.8,-0.3,-3.3,64.05,0.0,0,25.9,11.8,71,1022.7,3.2,16.0,0,0.0
